"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Dual specificity tyrosine-phosphorylation-regulated kinase 1A","DYRK1A","Q13627","CHEMBL2292","Kinase","1.0","32 /  27   "
"Voltage-gated inwardly rectifying potassium channel KCNH2","KCNH2","Q12809","CHEMBL240","Voltage-gated ion channel","1.0","1 /  75   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","1.0","28 /  74   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 1B","DYRK1B","Q9Y463","CHEMBL5543","Kinase","0.9985574882227538","2 /  2   "
"A disintegrin and metalloproteinase with thrombospondin motifs 5","ADAMTS5","Q9UNA0","CHEMBL2285","Protease","0.9985574882227538","2 /  5   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 4","DYRK4","Q9NR20","CHEMBL1075115","Kinase","0.9985574882227538","1 /  1   "
"Dual specificity protein kinase CLK4","CLK4","Q9HAZ1","CHEMBL4203","Kinase","0.9985574882227538","2 /  1   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 2","DYRK2","Q92630","CHEMBL4376","Kinase","0.9985574882227538","3 /  1   "
"MAP kinase-activated protein kinase 5","MAPKAPK5","Q8IW41","CHEMBL3094","Kinase","0.9985574882227538","1 /  2   "
"Mitogen-activated protein kinase 14","MAPK14","Q16539","CHEMBL260","Kinase","0.9985574882227538","2 /  33   "
"Cyclin-dependent kinase 5/CDK5 activator 1","N/A","Q00535&Q15078","CHEMBL1907600","Kinase","0.9985574882227538","12 /  3   "
"6-phosphogluconate dehydrogenase, decarboxylating","PGD","P52209","CHEMBL3404","Oxidoreductase","0.9985574882227538","7 /  4   "
"Matrix metalloproteinase-14","MMP14","P50281","CHEMBL3869","Protease","0.9985574882227538","4 /  7   "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.9985574882227538","13 /  5   "
"Dual specificity protein kinase CLK3","CLK3","P49761","CHEMBL4226","Kinase","0.9985574882227538","2 /  1   "
"Dual specificity protein kinase CLK2","CLK2","P49760","CHEMBL4225","Kinase","0.9985574882227538","4 /  3   "
"Dual specificity protein kinase CLK1","CLK1","P49759","CHEMBL4224","Kinase","0.9985574882227538","3 /  2   "
"Casein kinase I isoform epsilon","CSNK1E","P49674","CHEMBL4937","Kinase","0.9985574882227538","1 /  1   "
"DNA repair protein RAD52 homolog","RAD52","P43351","CHEMBL2362978","Other nuclear protein","0.9985574882227538","10 /  8   "
"Serine/threonine-protein kinase mTOR","MTOR","P42345","CHEMBL2842","Kinase","0.9985574882227538","1 /  1   "
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform","PIK3CA","P42336","CHEMBL4005","Transferase","0.9985574882227538","5 /  1   "
"Signal transducer and activator of transcription 1-alpha/beta","STAT1","P42224","CHEMBL6101","Transcription factor","0.9985574882227538","1 /  1   "
"Alpha-synuclein","SNCA","P37840","CHEMBL6152","Unclassified protein","0.9985574882227538","38 /  10   "
"Proteasome Macropain subunit MB1","PSMB5","P28074","CHEMBL4662","Protease","0.9985574882227538","9 /  5   "
"DNA (cytosine-5)-methyltransferase 1","DNMT1","P26358","CHEMBL1993","Writer","0.9985574882227538","2 /  2   "
"Phosphoglycerate mutase 1","PGAM1","P18669","CHEMBL3334418","Enzyme","0.9985574882227538","8 /  2   "
"HSP60/HSP10","N/A","P10809&P61604","CHEMBL4106131","Unclassified protein","0.9985574882227538","3 /  3   "
"Microtubule-associated protein tau","MAPT","P10636","CHEMBL1293224","Other cytosolic protein","0.9985574882227538","5 /  1   "
"Apoptosis regulator Bcl-2","BCL2","P10415","CHEMBL4860","Other ion channel","0.9985574882227538","9 /  22   "
"Small ribosomal subunit protein uS2","RPSA","P08865","CHEMBL6119","Unclassified protein","0.9985574882227538","1 /  1   "
"Hepatocyte growth factor receptor","MET","P08581","CHEMBL3717","Kinase","0.9985574882227538","15 /  23   "
"72 kDa type IV collagenase","MMP2","P08253","CHEMBL333","Protease","0.9985574882227538","34 /  24   "
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.9985574882227538","8 /  417   "
"Tyrosine-protein kinase Fyn","FYN","P06241","CHEMBL1841","Kinase","0.9985574882227538","6 /  3   "
"Amyloid-beta precursor protein","APP","P05067","CHEMBL2487","Membrane receptor","0.9985574882227538","26 /  18   "
"Interstitial collagenase","MMP1","P03956","CHEMBL332","Protease","0.9985574882227538","8 /  17   "
"Transthyretin","TTR","P02766","CHEMBL3194","Secreted protein","0.9985574882227538","9 /  21   "
