stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000178638,9606.ENSP00000405330,CA12,ESR1,9606,0.403,0.0,0.0,0.0,0.067,0.041,0.0,0.387
9606.ENSP00000178638,9606.ENSP00000345659,CA12,CA7,9606,0.405,0.0,0.0,0.116,0.0,0.0,0.0,0.355
9606.ENSP00000178638,9606.ENSP00000223095,CA12,SERPINE1,9606,0.406,0.0,0.0,0.0,0.086,0.0,0.0,0.377
9606.ENSP00000178638,9606.ENSP00000437955,CA12,HIF1A,9606,0.487,0.0,0.0,0.0,0.062,0.0,0.0,0.476
9606.ENSP00000178638,9606.ENSP00000430656,CA12,CA1,9606,0.488,0.0,0.0,0.118,0.0,0.0,0.0,0.444
9606.ENSP00000178638,9606.ENSP00000300900,CA12,CA4,9606,0.64,0.0,0.0,0.156,0.0,0.0,0.5,0.215
9606.ENSP00000178638,9606.ENSP00000367608,CA12,CA9,9606,0.739,0.0,0.0,0.124,0.084,0.0,0.5,0.426
9606.ENSP00000219070,9606.ENSP00000343925,MMP2,ESR2,9606,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
9606.ENSP00000219070,9606.ENSP00000354394,MMP2,STAT1,9606,0.412,0.0,0.0,0.0,0.085,0.0,0.0,0.384
9606.ENSP00000219070,9606.ENSP00000301178,MMP2,AXL,9606,0.416,0.0,0.0,0.0,0.17,0.0,0.0,0.325
9606.ENSP00000219070,9606.ENSP00000478255,MMP2,ABCB1,9606,0.42,0.0,0.0,0.0,0.111,0.0,0.0,0.374
9606.ENSP00000219070,9606.ENSP00000451040,MMP2,PGF,9606,0.459,0.0,0.0,0.0,0.063,0.0,0.0,0.447
9606.ENSP00000219070,9606.ENSP00000266970,MMP2,CDK2,9606,0.479,0.0,0.0,0.0,0.0,0.0,0.0,0.479
9606.ENSP00000219070,9606.ENSP00000260302,MMP2,MMP13,9606,0.49,0.0,0.0,0.0,0.084,0.0,0.4,0.146
9606.ENSP00000219070,9606.ENSP00000458585,MMP2,MMP12,9606,0.492,0.0,0.0,0.0,0.08,0.0,0.4,0.154
9606.ENSP00000219070,9606.ENSP00000354558,MMP2,MTOR,9606,0.512,0.0,0.0,0.0,0.0,0.0,0.0,0.512
9606.ENSP00000219070,9606.ENSP00000284987,MMP2,ADAMTS5,9606,0.52,0.0,0.0,0.0,0.141,0.045,0.0,0.461
9606.ENSP00000219070,9606.ENSP00000356975,MMP2,ADAMTS4,9606,0.544,0.0,0.0,0.0,0.072,0.053,0.0,0.523
9606.ENSP00000219070,9606.ENSP00000318585,MMP2,BACE1,9606,0.551,0.0,0.0,0.0,0.075,0.4,0.0,0.256
9606.ENSP00000219070,9606.ENSP00000324806,MMP2,GSK3B,9606,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.571
9606.ENSP00000219070,9606.ENSP00000405330,MMP2,ESR1,9606,0.58,0.0,0.0,0.0,0.042,0.0,0.0,0.579
9606.ENSP00000219070,9606.ENSP00000284981,MMP2,APP,9606,0.592,0.0,0.0,0.0,0.127,0.318,0.0,0.37
9606.ENSP00000219070,9606.ENSP00000393312,MMP2,FGFR1,9606,0.616,0.0,0.0,0.0,0.112,0.0,0.0,0.585
9606.ENSP00000219070,9606.ENSP00000263923,MMP2,KDR,9606,0.628,0.0,0.0,0.0,0.086,0.0,0.0,0.61
9606.ENSP00000219070,9606.ENSP00000363512,MMP2,ALOX5,9606,0.653,0.0,0.0,0.0,0.057,0.045,0.0,0.645
9606.ENSP00000219070,9606.ENSP00000317272,MMP2,MET,9606,0.703,0.0,0.0,0.0,0.069,0.0,0.0,0.694
9606.ENSP00000219070,9606.ENSP00000381185,MMP2,BCL2,9606,0.716,0.0,0.0,0.0,0.0,0.0,0.0,0.716
9606.ENSP00000219070,9606.ENSP00000437955,MMP2,HIF1A,9606,0.731,0.0,0.0,0.0,0.104,0.0,0.0,0.712
9606.ENSP00000219070,9606.ENSP00000223095,MMP2,SERPINE1,9606,0.755,0.0,0.0,0.0,0.181,0.0,0.0,0.714
9606.ENSP00000219070,9606.ENSP00000361405,MMP2,MMP9,9606,0.918,0.0,0.0,0.061,0.128,0.0,0.9,0.116
9606.ENSP00000219070,9606.ENSP00000322788,MMP2,MMP1,9606,0.93,0.0,0.0,0.0,0.181,0.0,0.9,0.215
9606.ENSP00000219070,9606.ENSP00000352798,MMP2,COL18A1,9606,0.96,0.0,0.0,0.0,0.115,0.503,0.75,0.687
9606.ENSP00000219070,9606.ENSP00000362680,MMP2,SRC,9606,0.972,0.0,0.0,0.0,0.042,0.0,0.9,0.74
9606.ENSP00000219070,9606.ENSP00000308208,MMP2,MMP14,9606,0.997,0.0,0.0,0.084,0.381,0.0,0.9,0.961
9606.ENSP00000223095,9606.ENSP00000380044,SERPINE1,CSNK1E,9606,0.414,0.0,0.0,0.0,0.049,0.0,0.0,0.41
9606.ENSP00000223095,9606.ENSP00000458585,SERPINE1,MMP12,9606,0.437,0.0,0.0,0.0,0.099,0.0,0.0,0.401
9606.ENSP00000223095,9606.ENSP00000352798,SERPINE1,COL18A1,9606,0.438,0.0,0.0,0.0,0.074,0.0,0.0,0.418
9606.ENSP00000223095,9606.ENSP00000362680,SERPINE1,SRC,9606,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.446
9606.ENSP00000223095,9606.ENSP00000381185,SERPINE1,BCL2,9606,0.448,0.0,0.0,0.0,0.0,0.0,0.0,0.448
9606.ENSP00000223095,9606.ENSP00000353731,SERPINE1,DPP4,9606,0.451,0.0,0.0,0.0,0.042,0.0,0.0,0.45
9606.ENSP00000223095,9606.ENSP00000263923,SERPINE1,KDR,9606,0.453,0.0,0.0,0.0,0.049,0.0,0.0,0.448
9606.ENSP00000223095,9606.ENSP00000451040,SERPINE1,PGF,9606,0.461,0.0,0.0,0.0,0.067,0.0,0.0,0.447
9606.ENSP00000223095,9606.ENSP00000260302,SERPINE1,MMP13,9606,0.467,0.0,0.0,0.0,0.081,0.0,0.0,0.444
9606.ENSP00000223095,9606.ENSP00000405330,SERPINE1,ESR1,9606,0.473,0.0,0.0,0.0,0.0,0.045,0.0,0.471
9606.ENSP00000223095,9606.ENSP00000237014,SERPINE1,TTR,9606,0.504,0.0,0.0,0.0,0.072,0.053,0.0,0.481
9606.ENSP00000223095,9606.ENSP00000313581,SERPINE1,KLK2,9606,0.512,0.0,0.0,0.0,0.0,0.045,0.0,0.51
9606.ENSP00000223095,9606.ENSP00000308208,SERPINE1,MMP14,9606,0.525,0.0,0.0,0.0,0.199,0.0,0.0,0.432
9606.ENSP00000223095,9606.ENSP00000229795,SERPINE1,MAPK14,9606,0.527,0.0,0.0,0.0,0.0,0.0,0.0,0.527
9606.ENSP00000223095,9606.ENSP00000367608,SERPINE1,CA9,9606,0.58,0.0,0.0,0.0,0.104,0.0,0.0,0.551
9606.ENSP00000223095,9606.ENSP00000301178,SERPINE1,AXL,9606,0.609,0.0,0.0,0.0,0.211,0.0,0.0,0.524
9606.ENSP00000223095,9606.ENSP00000437955,SERPINE1,HIF1A,9606,0.624,0.0,0.0,0.0,0.084,0.0,0.0,0.606
9606.ENSP00000223095,9606.ENSP00000322788,SERPINE1,MMP1,9606,0.773,0.0,0.0,0.0,0.208,0.0,0.0,0.726
9606.ENSP00000223095,9606.ENSP00000361405,SERPINE1,MMP9,9606,0.801,0.0,0.0,0.0,0.077,0.0,0.0,0.793
9606.ENSP00000225929,9606.ENSP00000405330,HSD17B1,ESR1,9606,0.611,0.0,0.0,0.0,0.0,0.0,0.0,0.611
9606.ENSP00000225929,9606.ENSP00000343925,HSD17B1,ESR2,9606,0.613,0.0,0.0,0.0,0.0,0.0,0.0,0.613
9606.ENSP00000225929,9606.ENSP00000478561,HSD17B1,CYP1B1,9606,0.958,0.0,0.0,0.0,0.091,0.053,0.911,0.513
9606.ENSP00000225929,9606.ENSP00000379683,HSD17B1,CYP19A1,9606,0.984,0.0,0.0,0.0,0.106,0.0,0.911,0.821
9606.ENSP00000229795,9606.ENSP00000340820,MAPK14,MAPT,9606,0.444,0.0,0.0,0.0,0.0,0.301,0.0,0.237
9606.ENSP00000229795,9606.ENSP00000241453,MAPK14,FLT3,9606,0.452,0.0,0.0,0.0,0.06,0.0,0.0,0.441
9606.ENSP00000229795,9606.ENSP00000354612,MAPK14,PTGS1,9606,0.522,0.0,0.0,0.0,0.086,0.045,0.0,0.496
9606.ENSP00000229795,9606.ENSP00000361405,MAPK14,MMP9,9606,0.532,0.0,0.0,0.0,0.105,0.0,0.0,0.498
9606.ENSP00000229795,9606.ENSP00000266970,MAPK14,CDK2,9606,0.543,0.0,0.0,0.082,0.062,0.131,0.0,0.462
9606.ENSP00000229795,9606.ENSP00000318585,MAPK14,BACE1,9606,0.551,0.0,0.0,0.0,0.053,0.067,0.0,0.533
9606.ENSP00000229795,9606.ENSP00000263967,MAPK14,PIK3CA,9606,0.552,0.0,0.0,0.0,0.118,0.0,0.0,0.513
9606.ENSP00000229795,9606.ENSP00000354558,MAPK14,MTOR,9606,0.554,0.0,0.0,0.0,0.103,0.149,0.0,0.462
9606.ENSP00000229795,9606.ENSP00000263923,MAPK14,KDR,9606,0.62,0.0,0.0,0.0,0.063,0.0,0.5,0.254
9606.ENSP00000229795,9606.ENSP00000324806,MAPK14,GSK3B,9606,0.626,0.0,0.0,0.0,0.113,0.11,0.0,0.564
9606.ENSP00000229795,9606.ENSP00000368884,MAPK14,RPS6KA3,9606,0.655,0.0,0.0,0.0,0.085,0.326,0.0,0.486
9606.ENSP00000229795,9606.ENSP00000437955,MAPK14,HIF1A,9606,0.693,0.0,0.0,0.0,0.042,0.045,0.0,0.691
9606.ENSP00000229795,9606.ENSP00000381185,MAPK14,BCL2,9606,0.701,0.0,0.0,0.0,0.062,0.0,0.0,0.694
9606.ENSP00000229795,9606.ENSP00000346671,MAPK14,FYN,9606,0.749,0.0,0.0,0.0,0.0,0.11,0.5,0.482
9606.ENSP00000229795,9606.ENSP00000354394,MAPK14,STAT1,9606,0.783,0.0,0.0,0.0,0.1,0.0,0.0,0.768
9606.ENSP00000229795,9606.ENSP00000362680,MAPK14,SRC,9606,0.818,0.0,0.0,0.0,0.087,0.11,0.5,0.605
9606.ENSP00000229795,9606.ENSP00000343925,MAPK14,ESR2,9606,0.921,0.0,0.0,0.0,0.0,0.0,0.9,0.247
9606.ENSP00000229795,9606.ENSP00000405330,MAPK14,ESR1,9606,0.954,0.0,0.0,0.0,0.0,0.0,0.9,0.561
9606.ENSP00000229795,9606.ENSP00000449381,MAPK14,MAPKAPK5,9606,0.956,0.0,0.0,0.0,0.093,0.429,0.9,0.265
9606.ENSP00000237014,9606.ENSP00000368727,TTR,XDH,9606,0.407,0.12,0.0,0.0,0.067,0.0,0.0,0.336
9606.ENSP00000237014,9606.ENSP00000309572,TTR,TERT,9606,0.48,0.0,0.0,0.0,0.05,0.0,0.0,0.476
9606.ENSP00000237014,9606.ENSP00000500990,TTR,SNCA,9606,0.753,0.0,0.0,0.0,0.064,0.0,0.4,0.597
9606.ENSP00000237014,9606.ENSP00000284981,TTR,APP,9606,0.982,0.0,0.0,0.0,0.0,0.712,0.4,0.907
9606.ENSP00000241356,9606.ENSP00000362680,ADORA3,SRC,9606,0.555,0.0,0.0,0.0,0.0,0.0,0.5,0.147
9606.ENSP00000241453,9606.ENSP00000354394,FLT3,STAT1,9606,0.403,0.0,0.0,0.0,0.054,0.079,0.0,0.369
9606.ENSP00000241453,9606.ENSP00000437955,FLT3,HIF1A,9606,0.447,0.0,0.0,0.0,0.059,0.0,0.0,0.436
9606.ENSP00000241453,9606.ENSP00000354558,FLT3,MTOR,9606,0.479,0.0,0.0,0.0,0.0,0.0,0.0,0.479
9606.ENSP00000241453,9606.ENSP00000317272,FLT3,MET,9606,0.506,0.0,0.0,0.0,0.0,0.092,0.0,0.478
9606.ENSP00000241453,9606.ENSP00000351602,FLT3,FUT4,9606,0.522,0.0,0.0,0.0,0.119,0.0,0.0,0.48
9606.ENSP00000241453,9606.ENSP00000361405,FLT3,MMP9,9606,0.563,0.0,0.0,0.0,0.083,0.0,0.0,0.542
9606.ENSP00000241453,9606.ENSP00000346671,FLT3,FYN,9606,0.57,0.0,0.0,0.0,0.05,0.23,0.4,0.135
9606.ENSP00000241453,9606.ENSP00000381185,FLT3,BCL2,9606,0.607,0.0,0.0,0.0,0.067,0.0,0.0,0.597
9606.ENSP00000241453,9606.ENSP00000362680,FLT3,SRC,9606,0.649,0.0,0.0,0.0,0.05,0.328,0.0,0.494
9606.ENSP00000241453,9606.ENSP00000451040,FLT3,PGF,9606,0.745,0.0,0.0,0.0,0.0,0.0,0.65,0.304
9606.ENSP00000241453,9606.ENSP00000263967,FLT3,PIK3CA,9606,0.958,0.0,0.0,0.0,0.0,0.098,0.9,0.572
