Gene,Degree
BCL2,42
MMP9,40
HIF1A,40
ESR1,39
SRC,36
GSK3B,32
MTOR,29
KDR,28
MMP2,27
PIK3CA,23
CDK2,23
MET,22
SERPINE1,21
KIT,21
MAPK14,20
APP,19
STAT1,19
TERT,18
FGFR1,16
SNCA,16
FYN,16
MMP1,15
ESR2,15
AXL,15
ABCB1,15
HDAC6,15
MAPT,15
MMP13,14
ABCG2,14
DNMT1,14
PKM,13
CA9,13
MMP14,13
FLT3,12
CA4,12
BACE1,11
PGF,10
CYP19A1,10
CA2,10
COL18A1,10
RPS6KA3,10
ACHE,9
PLK1,9
CA1,9
TYR,9
SIRT6,8
MMP12,8
DPP4,8
CYP1B1,7
CA12,7
PTGS1,7
XDH,7
KDM1A,7
FUT4,6
CSNK1E,6
ADAMTS5,6
ADAMTS4,6
DYRK1A,6
PTGES,5
ABCC1,5
TTR,5
PSMB5,5
CA6,5
ALOX5,4
CA7,4
KLK2,4
HSD17B1,4
CA3,4
SOST,4
PRKAA2,4
CLK2,3
KLK1,3
CA5A,3
CBR1,3
PGD,3
PGAM1,3
KCNH2,2
RPSA,2
ST3GAL3,2
RAD52,2
SYNJ2,2
FUT7,2
CLK1,2
CA5B,2
ADORA3,1
MAPKAPK5,1
NADK,1
CLK4,1
DYRK1B,1
DYRK2,1
STING1,1
CLK3,1
TAS2R31,1
