Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2025,Protein Phosphorylation (GO:0006468),18/373,1.800667233515073e-13,2.9386889250965994e-10,0,0,12.707908992416035,372.9192943112606,GSK3B;DYRK3;DYRK2;PRKAA2;FLT3;SRC;PLK1;DYRK1A;DYRK1B;CSNK1E;MAPK14;CLK3;KIT;CDK2;KDR;MAPKAPK5;FYN;FGFR1
GO_Biological_Process_2025,Cellular Component Disassembly (GO:0022411),9/49,1.615931998917465e-12,1.3186005111166512e-09,0,0,51.37241379310345,1394.8180186440002,ADAMTS4;MMP12;ADAMTS5;DYRK3;MMP14;MMP13;MMP1;MMP2;MMP9
GO_Biological_Process_2025,Extracellular Matrix Disassembly (GO:0022617),8/45,3.898337997983679e-11,2.120695870903121e-08,0,0,48.81326781326781,1169.9508243236828,ADAMTS4;MMP12;ADAMTS5;MMP14;MMP13;MMP1;MMP2;MMP9
GO_Biological_Process_2025,Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),14/296,1.4357242865860674e-10,5.857755089271157e-08,0,0,11.879778585019892,269.24545777806395,GSK3B;FLT3;SRC;MMP2;MAPK14;MMP9;PGF;VEGFA;PIK3CA;AXL;KIT;KDR;FYN;FGFR1
GO_Biological_Process_2025,Phosphorylation (GO:0016310),13/298,1.8354970429661615e-09,4.998998224754417e-07,0,0,10.781948848023674,216.88914957932167,GSK3B;DYRK3;DYRK2;PRKAA2;PLK1;DYRK1A;DYRK1B;CSNK1E;CLK3;CDK2;FYN;NADK;FGFR1
GO_Biological_Process_2025,Response to Amyloid-Beta (GO:1904645),7/45,1.8378669943950062e-09,4.998998224754417e-07,0,0,41.11827321111768,827.0800928276894,MMP12;APP;GSK3B;MMP13;MMP2;FYN;MMP9
GO_Biological_Process_2025,External Encapsulating Structure Organization (GO:0045229),9/111,3.1163474032549924e-09,6.357348702640187e-07,0,0,20.08316430020284,393.3609907341095,ADAMTS4;MMP12;APP;ADAMTS5;MMP14;MMP13;MMP1;MMP2;MMP9
GO_Biological_Process_2025,Extracellular Structure Organization (GO:0043062),9/111,3.1163474032549924e-09,6.357348702640187e-07,0,0,20.08316430020284,393.3609907341095,ADAMTS4;MMP12;APP;ADAMTS5;MMP14;MMP13;MMP1;MMP2;MMP9
GO_Biological_Process_2025,Cellular Response to Oxygen-Containing Compound (GO:1901701),14/384,4.1986787553716044e-09,7.401799129070494e-07,0,0,9.013711272247855,173.860933307954,APP;GSK3B;ABCC1;SRC;SERPINE1;MAPK14;MMP9;ESR1;ESR2;MTOR;AXL;CDK2;FYN;MAPT
GO_Biological_Process_2025,Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0048010),6/29,4.5354161330088814e-09,7.401799129070494e-07,0,0,57.62608695652174,1107.0748678692498,SRC;KDR;FYN;MAPK14;PGF;VEGFA
GO_Biological_Process_2025,+ Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051897),10/162,5.702568071564378e-09,8.131853408944818e-07,0,0,15.11015911872705,286.82631723241866,APP;PIK3CA;FLT3;SRC;AXL;KIT;KDR;MTOR;VEGFA;FGFR1
GO_Biological_Process_2025,Positive Regulation of Cellular Process (GO:0048522),17/622,6.0862673368876685e-09,8.131853408944818e-07,0,0,6.864379119154723,129.85504450694123,APP;GSK3B;PRKAA2;FLT3;PGF;MTOR;VEGFA;DPP4;RPS6KA3;MMP14;FUT7;KIT;CDK2;KDR;BCL2;MAPT;FGFR1
GO_Biological_Process_2025,Protein Modification Process (GO:0036211),16/545,6.576555735070516e-09,8.131853408944818e-07,0,0,7.325141776937619,138.00387402370978,GSK3B;DYRK3;DYRK2;PRKAA2;PLK1;DYRK1A;DYRK1B;SIRT6;CSNK1E;FUT4;CLK3;FUT7;CDK2;FYN;ST3GAL3;FGFR1
GO_Biological_Process_2025,Collagen Catabolic Process (GO:0030574),6/31,6.975854640026192e-09,8.131853408944818e-07,0,0,53.010666666666665,995.5833109991146,MMP12;MMP14;MMP13;MMP1;MMP2;MMP9
GO_Biological_Process_2025,Extracellular Matrix Organization (GO:0030198),10/182,1.7430546259818572e-08,1.8964434330682608e-06,0,0,13.339643050297456,238.31327852559244,ADAMTS4;MMP12;APP;ADAMTS5;MMP14;MMP13;MMP1;MMP2;CYP1B1;MMP9
GO_Biological_Process_2025,Positive Regulation of Protein Localization (GO:1903829),8/102,3.1724706126863314e-08,3.235920024940058e-06,0,0,19.158607350096712,330.79577312780407,GSK3B;PRKAA2;PIK3CA;PLK1;SIRT6;FYN;MAPT;SNCA
GO_Biological_Process_2025,Negative Regulation of Macromolecule Biosynthetic Process (GO:0010558),10/202,4.6882320686387536e-08,4.500702785893202e-06,0,0,11.937984496124033,201.46095188309005,APP;GSK3B;DNMT1;PRKAA2;TERT;KDR;MAPT;HIF1A;ESR1;VEGFA
GO_Biological_Process_2025,Negative Regulation of Apoptotic Process (GO:0043066),14/475,6.066793557248781e-08,5.500559491905562e-06,0,0,7.200730120099466,119.66065679030694,GSK3B;PRKAA2;SRC;SERPINE1;PLK1;MMP9;MTOR;VEGFA;RPS6KA3;PIK3CA;AXL;KDR;BCL2;SNCA
GO_Biological_Process_2025,Peptidyl-Tyrosine Modification (GO:0018212),6/46,8.375512704111165e-08,7.194124596373378e-06,0,0,33.10666666666667,539.4853314751873,FLT3;SRC;KDR;DYRK1A;FYN;FGFR1
GO_Biological_Process_2025,Regulation of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction (GO:0051896),10/219,1.0015938954997013e-07,7.955657465624441e-06,0,0,10.957494158228553,176.59648774051828,APP;PIK3CA;FLT3;SRC;AXL;KIT;KDR;MTOR;VEGFA;FGFR1
GO_Biological_Process_2025,Cellular Response to UV-A (GO:0071492),4/10,1.023705923885498e-07,7.955657465624441e-06,0,0,144.18840579710144,2320.6642827406263,MMP12;MMP1;MMP2;MMP9
